,S1 Fib ABCD 0.88,S5 EMA meter + SMI,S6 Impulse MACD
2022-07,1.6505548211846084,-7.99944645793703,14.882906214739798
2022-08,-1.2131539506075222,-7.572293525220098,-1.1240822267939374
2022-09,-3.325092712625782,0.0,-2.53133252714401
2022-10,0.6231998274102968,0.0,1.2367588371600386
2022-11,3.9572204664724726,19.862057826855033,0.6922848187203159
2022-12,-0.7696242762262722,0.0,0.005276315046322422
2023-01,-0.7686294111846725,-14.356203794580827,21.7575932752578
2023-02,-0.48520637939925304,2.285428943804293,-3.1124573743381787
2023-03,0.5455565703647013,1.907183223051499,30.40111864640549
2023-04,-1.2281536491077945,0.0,4.922252889850228
2023-05,-0.02334139578482683,0.0,-4.129750084394162
2023-06,0.014358921444876493,0.0,9.30311524817081
2023-07,-1.5006038257290957,0.0,-13.64447900029465
2023-08,-0.700056145237728,-10.440416692480662,3.7205394266206553
2023-09,-0.4568290597678344,0.0,-0.6200154263112636
2023-10,-1.9399093922448754,1.3712349898268688,28.076514467635263
2023-11,0.6535056170828185,0.0,-15.916535426712368
2023-12,-1.727436827082365,15.778108948273378,5.037411198053806
2024-01,3.4795346058400365,0.11550466297705064,-13.14960707426836
2024-02,-3.5640203378569906,16.72450143832801,11.499553116746203
2024-03,-1.9105246414810861,8.603405082712943,5.764594990518645
2024-04,-1.9903724699030472,-4.163119220549661,-16.528357146491672
2024-05,-0.29909988968956,-5.128396593401396,0.940497424406529
2024-06,-1.4726269792431959,0.5254396835720838,-7.344039395491467
2024-07,-2.342681203895706,14.900717917071752,-16.66712171210817
2024-08,1.7400023273257357,-18.274798031120238,22.68451759957255
2024-09,3.0377831173610055,15.036080671941528,13.023322915514695
2024-10,4.5857886884029195,-4.338298487665284,4.376513769961348
2024-11,0.018412383570706237,13.971388450225149,11.401329641632133
2024-12,-0.737636376256418,12.462289272992201,-4.41962349376617
2025-01,-2.148531690386676,-7.529705698990731,-5.781472965632216
2025-02,4.507850272859434,-5.207236537571356,-10.517715703299263
2025-03,6.643815106699838,0.0,9.169180039413366
2025-04,5.951811158717442,0.0,-0.829886469446123
2025-05,2.62299393735485,-0.28835357529711914,-2.3752085094992967
2025-06,0.15692329641503944,-11.665619461317835,-7.463285853765177
2025-07,-2.55340391413315,6.233040470903035,-6.733278497030247
2025-08,-0.7539538732783305,1.401665274133006,1.2901576318922139
2025-09,1.6211008455081093,0.0,3.4659939010161156
2025-10,2.333844474989471,-8.497424819919381,23.316931992274352
2025-11,-1.2032504737569343,21.32687356577397,4.867956807167774
2025-12,-0.2726506747381481,-19.039269696870058,-35.593955392788764
2026-01,-0.24200149116605962,-0.8421748168486278,11.210824295778426
2026-02,-1.7331235787949866,6.4878724495882185,-5.951390613153428
2026-03,-0.32762539670696544,-6.49406106493543,-7.1319216533629515
2026-04,-1.9788614846417603,4.399873992722368,-5.658251958126414
2026-05,-1.141180763939838,-2.149648857797305,-9.232931616340565
2026-06,1.0714615453745604,4.498716154395337,13.532546691420587
