risk,heat,p_pass,p_bust,p_time,mean,median,p5,p95
0.0025,0.02,0.09076923076923077,0.03230769230769231,0.8769230769230769,0.012381380928864663,0.002022313549768562,-0.05040905497785273,0.10162515559625208
0.0025,0.04,0.14615384615384616,0.10153846153846154,0.7523076923076923,0.012076966940430766,-0.0008356226276786671,-0.06038472004569203,0.10359912378267346
0.0025,0.06,0.15538461538461537,0.12,0.7246153846153847,0.01095793128107054,-0.002542758975693893,-0.06038472004569203,0.10343990738943964
0.005,0.02,0.10307692307692308,0.07076923076923076,0.8261538461538461,0.011741667973157623,0.005682745093916974,-0.06095269908794377,0.10448753041752082
0.005,0.04,0.23846153846153847,0.30923076923076925,0.4523076923076923,0.01477413157571129,-0.00020143577568298987,-0.06328423528049737,0.10874920807135588
0.005,0.06,0.24769230769230768,0.46,0.2923076923076923,0.01358086668433434,-0.0018511353288056531,-0.06296293040017131,0.10790917835333796
0.0075,0.02,0.07846153846153846,0.07846153846153846,0.8430769230769231,0.012432682739943492,0.008762766626805862,-0.06044683073868979,0.10574110526898821
0.0075,0.04,0.2246153846153846,0.5276923076923077,0.24769230769230768,0.008696678551189222,-0.00970141459934698,-0.06421508635444723,0.10978276965055003
0.0075,0.06,0.26615384615384613,0.6276923076923077,0.10615384615384615,0.0114886573543774,-0.011638762633957467,-0.06340365384101326,0.1121331697758032
0.01,0.02,0.12615384615384614,0.17076923076923076,0.703076923076923,0.012516611494111077,0.0052704578573449234,-0.061322430767309616,0.10962195123536367
0.01,0.04,0.24769230769230768,0.5861538461538461,0.16615384615384615,0.0147401589732604,-0.005178784870614239,-0.06243591707786722,0.11602024654051245
0.01,0.06,0.26461538461538464,0.6753846153846154,0.06,0.012755205407256309,-0.015229786057728623,-0.06243591707786722,0.11699134062993766
0.015,0.02,0.10923076923076923,0.2153846153846154,0.6753846153846154,0.009165333325382868,0.003863361328639625,-0.06471524105148624,0.1132385564987686
0.015,0.04,0.2123076923076923,0.6738461538461539,0.11384615384615385,0.013001464286465366,-0.009069517580886477,-0.06100702600803454,0.12210294967210741
0.015,0.06,0.26153846153846155,0.7261538461538461,0.012307692307692308,0.011923018873567757,-0.030292078619587326,-0.06031407621466488,0.12200251613581756
0.02,0.02,0.20461538461538462,0.33384615384615385,0.46153846153846156,0.010690970504831358,-0.0004224213366026963,-0.07151754305192083,0.12422352431251316
0.02,0.04,0.28307692307692306,0.6123076923076923,0.10461538461538461,0.014602187372535536,-0.017442431413720816,-0.06341871240118199,0.1295543743324854
0.02,0.06,0.2923076923076923,0.6892307692307692,0.018461538461538463,0.011334849562253264,-0.03643233595898521,-0.06214443285854326,0.12862669670438742
0.03,0.04,0.18615384615384614,0.8123076923076923,0.0015384615384615385,0.008275075942224219,-0.03045044128869162,-0.03131339415280065,0.12141969655591132
0.03,0.06,0.23692307692307693,0.7630769230769231,0.0,0.009794643814989797,-0.03048604465502186,-0.03142632869871191,0.1205157116458726
